Source ,Time,Organisation,Please mark if:,Estimated  fix date,Our notes,Owner,Status,Dev action,Org ids to defer,Follow up
Form,6/26/2026 15:11,Office of Rail and Road,need more time to update,7/10/2026,Confirmed we have reflected their ask,Antonia,Closed,"Yes, exclude data",office-of-rail-and-road,"Sorted, can remove any remaining"
Form,6/24/2026 11:14,Plymouth City Council,need more time to update,7/28/2026,Joe responded - ok to delay,Joe,Closed,Yes,plymouth-city-council,Confirmed
Form,6/24/2026 14:00,DfT,need more time to update,7/31/2026,Joe responded - ok to delay,Joe,Closed,Yes,department-for-transport,confirmed
form,7/3/2026 9:09,NHS Blood and Transplant,need more time to update,7/31/2026,Joe responded - ok to delay,Joe,Closed,Yes,nhs-blood-and-transplant,Happy for us to remove broken ones with understanding it is reversible for 12 months
Form,6/17/2026 9:52,Dartmoor National Park Authority,need more time to update,9/1/2026,Joe responded - ok to delay,Joe,Closed,Yes,dartmoor-national-park-authority,"can remove, he won't be able to review by deadline but has a list so is happy to reinstate them later"
